age,sex,marital_status,children,user_id
60,1,1,1,63b87683-1c30-49e0-86f0-54d00b32052f
24,1,0,0,8d8916e6-9820-49aa-bde8-8657dcfa7395
18,0,0,0,97fec509-ddfd-468b-8c39-ece964fdbcf1
18,1,0,0,5951d1d2-614e-4557-a2de-8298a1e4b179
49,1,1,0,d1f08820-32e6-4a31-abba-5aa533bc15a9
40,0,0,0,c42fc8e5-9ab6-4fbf-84bf-40ff309bf24c
34,0,0,0,4115e7da-5892-4eef-9f39-705626158c7f
20,0,0,0,85362f90-0066-4b3b-b0d5-2e919acda80d
58,0,1,1,f47ac0f5-2afa-4e71-8328-bd881947159b
66,0,1,0,e3302139-c0ba-4715-9c35-68dde8347b56
31,1,0,0,89dd1d56-f177-4b28-86c8-b7d1beeff4a8
53,0,1,0,c0f02267-3aca-4878-a0f9-3fe516f9ec17
41,0,0,1,7f7ce164-75dd-4d50-ad3f-e4d8846f3d60
56,1,1,1,e09e27fe-72e3-4359-809e-43acf4976f55
26,1,0,0,366bd18f-6a16-4f39-9177-080c11ce9f25
67,0,1,0,65b34b30-f96d-4230-b595-0c7c249de7e5
51,0,1,1,48c5ab18-4e44-40cb-8776-a19da0a86ffa
24,1,0,0,7f89df2d-6f1e-4f67-83a1-40d2b8ec56b0
67,1,1,0,7c11eccd-15a9-4b87-875e-b84f39dfe3d6
67,0,1,1,6b116938-3785-4983-a5d7-33f6af32f0ba
39,0,0,0,db41a6d4-70fc-43b1-82a5-393b46a2bdfa
46,0,0,1,96ca8e55-2cbd-4c9b-9540-ff0ac6309797
32,0,0,1,78955b0f-6e77-44d6-89b5-18097afb0580
43,0,0,0,1084cc0c-3ee1-42d2-aa29-368474bd1579
23,1,0,0,5a9d6641-6ca6-48f0-af45-f411750f611a
74,0,1,1,baaf00b6-da56-44af-8c70-97269472e6f3
35,1,0,1,520baa4f-ee70-420b-96c9-37e3c4238f43
25,1,0,0,eafe1c71-6ae0-4add-b9d9-34d9c5d00c50
19,0,0,0,bf7367be-d029-4255-81a1-3a295eeb9c56
71,0,1,0,a49a996a-10c4-4a7c-8f87-421c0d5209b9
22,1,0,0,82a0b2f1-4124-4330-977b-9bddba44ec13
29,0,0,0,5faf7aa9-ca1a-44b6-bc00-5954bc39cc91
18,1,0,0,4136ab42-d31d-4f07-b3ef-6d63526b769b
23,0,0,0,e0d9d6a2-d95a-4c56-b2df-654eca4d3bae
67,1,1,0,20e2eaa5-e8b9-4675-bc3b-11c048b060d9
32,1,0,0,6f0c43cb-42af-45e0-83ae-f0ed3b4e2e8e
49,1,1,0,1df78ad9-9493-4ce9-b1ad-776f26650417
38,1,0,1,d165b2ff-dfe1-40d0-bda0-a25e82b95870
67,0,1,0,8af678e5-c051-4ca2-88f3-4c903d77a3f6
59,1,1,0,44b36e47-f501-4328-9df5-927222167a3d
60,1,1,0,8ac6bb3e-7dc0-4cdb-90f2-a31db50547db
22,0,0,0,b8e0e25a-412e-4b8c-aaa2-eb1b46036424
63,0,1,1,b60b4bf2-44e4-4232-902b-79a50d448f8b
46,0,0,0,5943d612-56e1-449a-b891-c501bcea5c34
19,0,0,0,6cbe0665-0001-43b3-98af-7cd3909b1b28
53,1,1,0,7be40e37-7a40-40ce-81c8-a5048c8befb1
61,0,1,0,2f0a3789-41ac-4732-bf29-b3ea5f4ed831
27,0,0,1,707a74bd-593f-4bdc-85e3-b8ff6b538399
27,0,0,0,9208a361-ea2f-4f75-a2b4-281b55df08a9
56,0,1,1,2c696f6a-3988-4cdb-a9a0-5c464e2ce19a
29,1,0,0,1e06f0d8-776e-4309-92ec-f9f54d1d1679
38,0,0,1,4340de09-99b5-451b-ada3-168228a08cf9
19,1,0,0,b9287f6c-c865-49bb-a3c9-da47bbdf3a90
19,0,0,0,6514b5a0-6388-4940-b6db-ed6f4e010ad5
25,1,0,0,5f9b23fe-4253-4677-8ecd-1b27366a5830
25,1,0,0,dbc936d7-51da-4dfa-9dd9-7ce399b466df
47,0,1,1,6d37adeb-4c53-4167-b170-c89e4bd1764a
36,0,0,1,93908a68-20b7-44ba-b6c1-6f4cc57d7726
42,0,0,0,525d85ad-6277-4500-9701-9afbf9785ad3
38,1,0,1,9cfa05e2-606b-4080-8bac-96e3986f1704
37,0,0,0,78fe6452-8a56-4226-ae22-f372116b12ff
48,1,1,0,7091fe90-07da-424c-8da6-24e024503be2
69,0,1,0,ee92f1cf-3bcf-4cea-a8d4-ac5ce812de46
59,1,1,1,60bc96e0-dcf5-438d-8e11-7ab3f6ac6e96
26,1,0,0,48fd8fef-ef87-4609-aac6-a8495b2feb50
48,1,1,1,6cf2751f-d815-4fbc-b04a-245c1301574c
23,1,0,0,e93257ac-2915-409b-a527-f8d5a089f155
50,1,1,0,bbe51ac6-6687-4cbe-9178-27d96f90836b
21,1,0,0,e512189a-15a2-4325-b41d-6092f5c03bc9
39,0,0,0,ae9e2ae5-5044-4006-b83d-a3475530025e
59,0,1,1,5eb03e58-d3d1-47f9-87bc-b0184556c02d
57,1,1,0,7025daf6-54d9-44be-8282-7923def85169
37,1,0,0,30a46555-66f8-4dd3-946f-dacc9bd6d0c2
61,1,1,0,c4f8645d-471d-4c3b-aa5c-dd2f30115669
57,1,1,0,bbe518c7-5ea8-444e-acef-6c18be8336bc
46,1,0,0,4d3c9f53-0667-4a80-8259-12200fe75761
55,1,1,0,0babae9e-2656-4dcb-b454-47d88d47c920
24,1,0,0,2a6f290c-40f8-4705-89d9-e8aeb6a4fa7b
61,0,1,1,79bdfd27-a0a7-4e4f-9d75-0c12c72ce7f1
48,0,1,0,6875a4d9-cdc6-43bc-a700-f6916e049e46
44,1,0,0,19ac513f-b77e-4808-ade4-284ece721d91
46,0,0,0,17c49262-1f0c-46d1-a6ba-bacc19f08a86
36,1,0,0,29246f52-de26-4867-b464-7c5973526202
60,1,1,1,d78268b1-7168-49f4-8f6f-db436afb5a6f
33,0,0,1,e879df28-ff9c-4900-b99c-c769ec349316
69,1,1,1,489039b3-4092-4ed0-9065-b87573c26f21
66,0,1,0,467a047e-c8df-4304-8fc9-949acd7bcf4a
70,1,1,1,2d90a679-c85d-4299-86dd-2319424fcc15
69,0,1,0,1690815f-a96f-4f41-af89-bde6e90ad560
34,0,0,1,edbbae4b-6354-4a0b-9d43-d74c3f67b5de
59,0,1,0,6aff561d-fbd9-4130-8242-8b9073cc3a03
29,1,0,0,ac8cea7f-30b1-498d-8baa-d5ea2b32d138
75,0,1,1,4fe02f4f-f3d6-4068-853d-158cc64f0c65
51,1,1,1,2816d806-e7b2-4721-a197-a60bd3082f35
22,1,0,0,48ebf150-7cb7-4358-a5ef-1a2b0aa831b9
72,0,1,0,cf7fec7a-ccca-4f66-9b3f-137d89a4a5ce
65,1,1,1,69d962db-8bf2-4122-a42c-a708e1cc0cab
64,1,1,1,7193aa74-ca9f-4769-b290-a817bd2e4266
48,0,1,0,8f61f71f-2321-4365-a17d-8e808b3151d2
37,0,0,1,393de08c-725c-457a-a591-16030480eb80
37,1,0,0,d550fa36-ab93-4a07-a7ad-bb6f395b5a50
48,0,1,1,dc41b3dc-c270-46ce-a7b7-1f27c178765c
32,0,0,1,96aa719e-c5a3-4645-ba89-16c304fb59b0
68,1,1,0,62c29c95-e8ec-4b77-a7fa-550820017bff
35,0,0,0,eb8ac155-9558-47a2-ad5d-3a2518ec563c
37,1,0,0,ab21c3fa-34c7-4858-bee5-193775913caf
47,0,1,1,c9d5048d-4879-4c2f-865f-3a971f3eea4e
75,1,1,0,c3a44de4-e6c8-4d02-93df-aff409356087
67,0,1,1,68e0c8f7-9546-42ed-b327-f67debec10cf
58,1,1,1,4dae48a6-8206-46eb-b629-fec4a99306ec
44,0,0,1,d055abf7-ba8e-463b-975a-c5cb10f6d8eb
31,1,0,1,5555f2b6-d408-419f-aa60-22c0f0440f50
42,0,0,0,f37282a8-5c04-44bb-a9e6-fe9ed2eed6e2
46,1,0,1,376bc5b4-cb91-4fa3-9083-7dd7f1caa872
20,0,0,0,b3367c91-53bd-4aac-ab6d-0a596fe382c2
42,0,0,0,ab6cf98c-c16e-41b7-88ab-31f4db64caa2
29,0,0,1,2bfd97fc-be3c-4137-8996-b44907a368d2
65,0,1,1,f9178203-61c0-4597-9070-6dc453ada601
40,0,0,0,b6b40cce-8d02-4fe5-8bee-5eadbcb56a01
59,0,1,1,58367695-0c22-415d-9704-bd8f73bb2e8f
20,0,0,0,f36630d8-e3d9-4e23-acc0-ffd86e661c26
35,1,0,1,51d453ca-8147-49eb-a874-8139855727e7
28,0,0,1,c4706c3b-a72a-4a8e-8a54-55c6b0238f86
50,0,1,1,5de439eb-6bc7-4fc2-ba0e-a3bf8a286d63
71,0,1,0,b84e37bd-016f-4bd7-ab63-0ba81c57ea9a
24,1,0,0,b49e6c79-09ad-41b2-9ed6-44570f83a3f8
45,1,0,0,1550e197-9073-408e-a1ca-08f9dbac7f7a
30,1,0,1,1fada2e4-1018-48f1-84dc-802dc99171fe
57,1,1,0,aa2bd310-8be1-4b6c-a852-2789d8652ac7
